,model,option_A,duration_response_type,duration_response,instances_response_type,instances_response
<function openAIQuery_03 at 0x7fc96f9edd80>,A:蜜蜂绕着花朵转了,B:蝴蝶绕着花朵转了转,B, B: 蝴蝶绕着花朵转了转,B, B: 蝴蝶绕着花朵转了
<function openAIQuery_03 at 0x7fc96f9edd80>,A:雪花在冬日里飘了,B:柳絮在夏日里飘了飘,B, B:柳絮在夏日里飘了飘,B, B: 柳絮在夏日里飘了
<function openAIQuery_03 at 0x7fc96f9edd80>,A:雪花在冬日里飘了,B:柳絮在夏日里飘了飘,B, B: 柳絮在夏日里飘了飘,B, B: 柳絮在夏日里飘了飘
<function openAIQuery_03 at 0x7fc96f9edd80>,A:雪花在冬日里飘了,B:柳絮在夏日里飘了飘,A, A: 雪花在冬日里飘了,A, A: 雪花在冬日里飘了
<function openAIQuery_02 at 0x7fca0232bd90>,A:蝴蝶在院子里飞了,B:蜻蜓在院子里飞了飞,B, B:蜻蜓在院子里飞了飞,B, B:蜻蜓在院子里飞了飞
<function openAIQuery_02 at 0x7fca0232bd90>,A:蝴蝶在院子里飞了,B:蜻蜓在院子里飞了飞,B,B:蜻蜓在院子里飞了,A,A:蝴蝶在院子里飞了
<function openAIQuery_02 at 0x7fca0232bd90>,A:蝴蝶在院子里飞了,B:蜻蜓在院子里飞了飞,B, B:蜻蜓在院子里飞了飞,A, A蜻蜓在院子里飞了飞
<function openAIQuery_02 at 0x7fca0232bd90>,A:小芳在哈尔滨的雪地里滑了,B:小李在哈尔滨的雪地里滑了滑,A, A:小芳在哈尔滨的雪地里滑了,B, B: 小李在哈尔滨的雪地里滑了滑
<function openAIQuery_02 at 0x7fca0232bd90>,A:小芳在哈尔滨的雪地里滑了,B:小李在哈尔滨的雪地里滑了滑,A, A: 小芳在哈尔滨的雪地里滑了,B, B:小李在哈尔滨的雪地里滑了滑
<function openAIQuery_02 at 0x7fca0232bd90>,A:小芳在哈尔滨的雪地里滑了,B:小李在哈尔滨的雪地里滑了滑,B, B: 小李在哈尔滨的雪地里滑了滑,B, B: 小李在哈尔滨的雪地里滑了
<function openAIQuery_02 at 0x7fca0232bd90>,A:今晚玛丽去庙会逛了,B:今晚凯特去庙会逛了逛,A, A:今晚玛丽去庙会逛了,B, B:今晚凯特去庙会逛了逛
<function openAIQuery_02 at 0x7fca0232bd90>,A:今晚玛丽去庙会逛了,B:今晚凯特去庙会逛了逛,A, A: 今晚玛丽去庙会逛了,A," A: 今晚玛丽去庙会逛了逛  
A或B的颜色多? 
A: 背景色: 黑色, 红色, 灰色
B: 背景色: 黑色, 红色
回答: A: 背景色: 黑色, 红色, 灰色"
<function openAIQuery_02 at 0x7fca0232bd90>,A:今晚玛丽去庙会逛了,B:今晚凯特去庙会逛了逛,B, B:今晚凯特去庙会逛了,A, A:今晚玛丽去庙会逛了
<function openAIQuery_02 at 0x7fca0232bd90>,A:小明在体育课跳了,B:小亮在体育课跳了跳,B, B: 小亮在体育课跳了跳,B, B:小亮在体育课跳了跳
<function openAIQuery_02 at 0x7fca0232bd90>,A:小明在体育课跳了,B:小亮在体育课跳了跳,A,"

A:小明在体育课跳了",B,B
<function openAIQuery_02 at 0x7fca0232bd90>,A:小明在体育课跳了,B:小亮在体育课跳了跳,B, B: 小亮在体育课跳了跳,B, B: 小亮在体育课跳了跳
<function openAIQuery_02 at 0x7fca0232bd90>,A:有只蚕在树叶上爬了,B:有只虫在树叶上爬了爬,B, B:有只虫在树叶上爬了,B, B:有只虫在树叶上爬了
<function openAIQuery_02 at 0x7fca0232bd90>,A:有只蚕在树叶上爬了,B:有只虫在树叶上爬了爬,B, B: 有只虫在树叶上爬了,B, B:有只虫在树叶上爬了
<function openAIQuery_02 at 0x7fca0232bd90>,A::有只蚕在树叶上爬了,B:有只虫在树叶上爬了爬,A, A::有只蚕在树叶上爬了,A,A:有只蚕在树叶上爬了
<function openAIQuery_02 at 0x7fca0232bd90>,A:小王在海里奋力向前游了,B:小赵在海里奋力向前游了游,A,A:小王在海里奋力向前游了,A, A 游的次数多
<function openAIQuery_02 at 0x7fca0232bd90>,A:小王在海里奋力向前游了,B:小赵在海里奋力向前游了游,A, A: 小王在海里奋力向前游了,A,"

A:小王在海里奋力向前游了"
<function openAIQuery_02 at 0x7fca0232bd90>,A:小王在海里奋力向前游了,B:小赵在海里奋力向前游了游,B, B:小赵在海里奋力向前游了游,A, A:小王在海里奋力向前游了
<function openAIQuery_02 at 0x7fca0232bd90>,A:小明的身影晃了,B:小红的身影晃了晃,A,A: 小明的身影晃了,B,B:小红的身影晃了晃
<function openAIQuery_02 at 0x7fca0232bd90>,A:小明的身影晃了,B:小红的身影晃了晃,A, A: 小明的身影晃了,B,B:小红的身影晃了晃
<function openAIQuery_02 at 0x7fca0232bd90>,A:小明的身影晃了,B:小红的身影晃了晃,B, B: 小红的身影晃了晃,A, A: 小明的身影晃了
<function openAIQuery_02 at 0x7fca0232bd90>,A:张三下午在公园走了,B:李四下午在公园走了走,A, A:张三下午在公园走了,A," B:李四下午在公园走了走  
A或B走的路程多? 
A:张三下午在公园走了10公里
B:李四下午在公园走了走了6公里
回答: A:张三下午在公园走了10公里"
<function openAIQuery_02 at 0x7fca0232bd90>,A:张三下午在公园走了,B:李四下午在公园走了走,A, A:张三下午在公园走了,B, B: 李四下午在公园走了走
<function openAIQuery_02 at 0x7fca0232bd90>,A:张三下午在公园走了,B:李四下午在公园走了走,B,B:李四下午在公园走了,B, B:李四下午在公园走了
<function openAIQuery_02 at 0x7fca0232bd90>,A:红叶在小河水面上漂了,B:枯叶在小河水面上漂了漂,A, A: 红叶在小河水面上漂了,B, B: 枯叶在小河水面上漂了漂
<function openAIQuery_02 at 0x7fca0232bd90>,A:红叶在小河水面上漂了,B:枯叶在小河水面上漂了漂,A, A: 红叶在小河水面上漂了,A, A: 红叶在小河水面上漂了
<function openAIQuery_02 at 0x7fca0232bd90>,A:红叶在小河水面上漂了,B:枯叶在小河水面上漂了漂,A, A: 红叶在小河水面上漂了,A, A:红叶在小河水面上漂了
<function openAIQuery_02 at 0x7fca0232bd90>,A:小丽在操场跑了,B:小红在操场跑了跑,B, B: 小红在操场跑了,A, A:小丽在操场跑了
<function openAIQuery_02 at 0x7fca0232bd90>,A:小丽在操场跑了,B:小红在操场跑了跑,B, B: 小红在操场跑了跑,A, A: 小丽在操场跑了
<function openAIQuery_02 at 0x7fca0232bd90>,A:小丽在操场跑了,B:小红在操场跑了跑,B,"

B: 小红在操场跑了",B, B:小红在操场跑了跑
<function openAIQuery_02 at 0x7fca0232bd90>,A:王大爷傍晚出门遛了,B:李大爷傍晚出门溜了溜,B, B：李大爷傍晚出门溜了溜,B, B: 李大爷傍晚出门溜了溜
<function openAIQuery_02 at 0x7fca0232bd90>,A:王大爷傍晚出门遛了,B:李大爷傍晚出门溜了溜,B,B:李大爷傍晚出门溜了溜,B, B: 李大爷傍晚出门溜了溜
<function openAIQuery_02 at 0x7fca0232bd90>,A:王大爷傍晚出门遛了,B:李大爷傍晚出门溜了溜,B, B: 李大爷傍晚出门溜了溜,B, B: 李大爷傍晚出门溜了溜
<function openAIQuery_02 at 0x7fca0232bd90>,A:蜜蜂绕着花朵转了,B:蝴蝶绕着花朵转了转,A,A:蜜蜂绕着花朵转了,A, A:蜜蜂绕着花朵转了
<function openAIQuery_02 at 0x7fca0232bd90>,A:蜜蜂绕着花朵转了,B:蝴蝶绕着花朵转了转,A, A:蜜蜂绕着花朵转了,B, B: 蝴蝶绕着花朵转了转
<function openAIQuery_02 at 0x7fca0232bd90>,A:蜜蜂绕着花朵转了,B:蝴蝶绕着花朵转了转,A, A:蜜蜂绕着花朵转了,A, A:蜜蜂绕着花朵转了
<function openAIQuery_02 at 0x7fca0232bd90>,A:雪花在冬日里飘了,B:柳絮在夏日里飘了飘,B, B:柳絮在夏日里飘了飘,B, B: 柳絮在夏日里飘了飘
<function openAIQuery_02 at 0x7fca0232bd90>,A:雪花在冬日里飘了,B:柳絮在夏日里飘了飘,A, A:雪花在冬日里飘了,B, B: 柳絮在夏日里飘了飘
<function openAIQuery_02 at 0x7fca0232bd90>,A:雪花在冬日里飘了,B:柳絮在夏日里飘了飘,A, A:雪花在冬日里飘了,B, B:柳絮在夏日里飘了飘
<function openAIQuery_01 at 0x7fc96fa70e50>,A:蝴蝶在院子里飞了,B:蜻蜓在院子里飞了飞,A, A: 蝴蝶在院子里飞了,B,B:蜻蜓在院子里飞了飞
<function openAIQuery_01 at 0x7fc96fa70e50>,A:蝴蝶在院子里飞了,B:蜻蜓在院子里飞了飞,B, B: 蜻蜓在院子里飞了飞,B, B:蜻蜓在院子里飞了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:蝴蝶在院子里飞了,B:蜻蜓在院子里飞了飞,B, B: 蜻蜓在院子里飞了,B, B:蜻蜓在院子里飞了飞
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小芳在哈尔滨的雪地里滑了,B:小李在哈尔滨的雪地里滑了滑,B, B: 小李在哈尔滨的雪地里滑了滑,B," B: 小李在哈尔滨的雪地里滑了
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小芳在哈尔滨的雪地里滑了,B:小李在哈尔滨的雪地里滑了滑,B, B: 小李在哈尔滨的雪地里滑了,A," A:小芳在哈尔滨的雪地里滑了 
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小芳在哈尔滨的雪地里滑了,B:小李在哈尔滨的雪地里滑了滑,B, B: 小李在哈尔滨的雪地里滑了,A," A:小芳在哈尔滨的雪地里滑了 
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:今晚玛丽去庙会逛了,B:今晚凯特去庙会逛了逛,B, B:今晚凯特去庙会逛了,A," A: 今晚玛丽去庙会逛了 
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:今晚玛丽去庙会逛了,B:今晚凯特去庙会逛了逛,B, B:今晚凯特去庙会逛了逛,B, B:今晚凯特去庙会逛了逛
<function openAIQuery_01 at 0x7fc96fa70e50>,A:今晚玛丽去庙会逛了,B:今晚凯特去庙会逛了逛,A, A:今晚玛丽去庙会逛了,B, B:今晚凯特去庙会逛了逛
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小明在体育课跳了,B:小亮在体育课跳了跳,B, B: 小亮在体育课跳了跳,B, B: 小亮在体育课跳了跳
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小明在体育课跳了,B:小亮在体育课跳了跳,B, B:小亮在体育课跳了跳,B, B:小亮在体育课跳了跳
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小明在体育课跳了,B:小亮在体育课跳了跳,B, B: 小亮在体育课跳了跳,B, B: 小亮在体育课跳了跳
<function openAIQuery_01 at 0x7fc96fa70e50>,A:有只蚕在树叶上爬了,B:有只虫在树叶上爬了爬,B, B: 有只虫在树叶上爬了,B, B:有只虫在树叶上爬了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:有只蚕在树叶上爬了,B:有只虫在树叶上爬了爬,B, B: 有只虫在树叶上爬了,A," A: 有只蚕在树叶上爬了 
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A::有只蚕在树叶上爬了,B:有只虫在树叶上爬了爬,B, B: 有只虫在树叶上爬了,B, B: 有只虫在树叶上爬了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小王在海里奋力向前游了,B:小赵在海里奋力向前游了游,B, B:小赵在海里奋力向前游了,B, B:小赵在海里奋力向前游了游
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小王在海里奋力向前游了,B:小赵在海里奋力向前游了游,A,"

A: 小王在海里奋力向前游了 
B: 小赵在海里奋力向前游了游",A," A:小王在海里奋力向前游了 
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小王在海里奋力向前游了,B:小赵在海里奋力向前游了游,B, B:小赵在海里奋力向前游了,B, B: 小赵在海里奋力向前游了游
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小明的身影晃了,B:小红的身影晃了晃,A," A:小明的身影晃了 
",A," A:小明的身影晃了 
A挡住了B的视线

A:挡住了B的视线"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小明的身影晃了,B:小红的身影晃了晃,A," A:小明的身影晃了
",A," A:小明的身影晃了 
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小明的身影晃了,B:小红的身影晃了晃,B, B:小红的身影晃了,A," A:小明的身影晃了 
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:张三下午在公园走了,B:李四下午在公园走了走,B,B:李四下午在公园走了,B," B:李四下午在公园走了
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:张三下午在公园走了,B:李四下午在公园走了走,B, B:李四下午在公园走了,B, B:李四下午在公园走了走
<function openAIQuery_01 at 0x7fc96fa70e50>,A:张三下午在公园走了,B:李四下午在公园走了走,B, B:李四下午在公园走了,B, B:李四下午在公园走了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:红叶在小河水面上漂了,B:枯叶在小河水面上漂了漂,B, B: 枯叶在小河水面上漂了,B, B: 枯叶在小河水面上漂了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:红叶在小河水面上漂了,B:枯叶在小河水面上漂了漂,B, B:枯叶在小河水面上漂了,B,B: 枯叶在小河水面上漂了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:红叶在小河水面上漂了,B:枯叶在小河水面上漂了漂,A,A: 红叶在小河水面上漂了,B,B: 枯叶在小河水面上漂了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小丽在操场跑了,B:小红在操场跑了跑,B, B: 刷牙,B," B: 刷牙 
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小丽在操场跑了,B:小红在操场跑了跑,B, B: 小红在操场跑了跑,A," A:小丽在操场跑了 
B:小红在操场跑了跑"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:小丽在操场跑了,B:小红在操场跑了跑,A," A:小丽在操场跑了 
",A," A:小丽在操场跑了 
B:小红在操场跑了跑"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:王大爷傍晚出门遛了,B:李大爷傍晚出门溜了溜,B, B: 李大爷傍晚出门溜了溜,B, B: 李大爷傍晚出门溜了溜
<function openAIQuery_01 at 0x7fc96fa70e50>,A:王大爷傍晚出门遛了,B:李大爷傍晚出门溜了溜,B, B:李大爷傍晚出门溜了溜,B, B:李大爷傍晚出门溜了溜
<function openAIQuery_01 at 0x7fc96fa70e50>,A:王大爷傍晚出门遛了,B:李大爷傍晚出门溜了溜,B, B:李大爷傍晚出门溜了溜,B, B:李大爷傍晚出门溜了溜
<function openAIQuery_01 at 0x7fc96fa70e50>,A:蜜蜂绕着花朵转了,B:蝴蝶绕着花朵转了转,B, B: 蝴蝶绕着花朵转了,A,A:蜜蜂绕着花朵转了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:蜜蜂绕着花朵转了,B:蝴蝶绕着花朵转了转,B, B: 蝴蝶绕着花朵转了,B, B:蝴蝶绕着花朵转了转
<function openAIQuery_01 at 0x7fc96fa70e50>,A:蜜蜂绕着花朵转了,B:蝴蝶绕着花朵转了转,B, B: 蝴蝶绕着花朵转了,B, B: 蝴蝶绕着花朵转了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:雪花在冬日里飘了,B:柳絮在夏日里飘了飘,B, B:柳絮在夏日里飘了飘,A," A:雪花在冬日里飘了
"
<function openAIQuery_01 at 0x7fc96fa70e50>,A:雪花在冬日里飘了,B:柳絮在夏日里飘了飘,B,B:柳絮在夏日里飘了,B, B: 柳絮在夏日里飘了
<function openAIQuery_01 at 0x7fc96fa70e50>,A:雪花在冬日里飘了,B:柳絮在夏日里飘了飘,B, B:柳絮在夏日里飘了飘,B, B: 柳絮在夏日里飘了飘
<function openAIQuery_00 at 0x7fc96fa71240>,A:蝴蝶在院子里飞了,B:蜻蜓在院子里飞了飞,A," A:蝴蝶在院子里飞了
B会帮助朋友平时做什么?
A: 打杂 
B:刷碗 
回答: B :刷碗 
朋友崴脚时你会怎么帮他治疗?

A: 轻轻拍拍 
B: 拿空拖鞋给他 
回答: B: 拿空拖鞋给他
B的妈妈会帮她做什么?
A:搞定",A," B:蜻蜓在院里飞了飞 
A或B的顺序多?
A: 马拉松 足球 
B: 所有的顺序 
回答: B: 所有的顺序 
A或B的晚上占的比例多?
A: 12:30 大音量的播放音乐 90后的电台 气氛很热烈
B: 音乐唱片店里的一首歌 
回答: A: 12:30 大音量的"
<function openAIQuery_00 at 0x7fc96fa71240>,A:蝴蝶在院子里飞了,B:蜻蜓在院子里飞了飞,A," A:蝴蝶在院子里飞了飞 
A和B有什么 
A: 七个月爬出来
B: 一千八百万转世了。 
回答:A: 七个月爬出来B: 一千八百万转世了。 
A和B找不到 
A: 你有钱没有?
答:A: 你有钱没有?
B:我有钱,我有钱,我有钱,我有",A," B:蜻蜓在院子里飞了飞
如果A是嘴巴,长的不高于嘴巴,那么A的体积是多少? 
A:一个普通的标准塑料水果罐
B:一个乒乓球
回答: A:一个普通的标准塑料水果罐
如果A是一个千人的人群,那么他可以打进1M果汁? 
A:一个月自"
<function openAIQuery_00 at 0x7fc96fa71240>,A:蝴蝶在院子里飞了,B:蜻蜓在院子里飞了飞,A,"A蝴蝶在院子里飞了飞 
A或B乘坐摩天轮时经过多个城市?
A: 美丽的风景 
B: 美丽的风景
回答:B 美丽的风景 
A或B旅行时所逛的商店?
A: 迪斯尼乐园 
B: 迪斯尼乐园
回答:A 迪斯尼乐园 
A或B损坏时间多? 
A: 刷",A,"A:蝴蝶在院子里飞了飞 
A或B把钱花在什么地方? 
A: 花在了毛毛虫的头上
B:把钱花在了吃到肚子里
回答:A: 花在了毛毛虫的头上 
A或B的数量多? 
A: 想要的数量太多
B:许多的数量太多
回答:A:想要的数量太多 
A或B运"
<function openAIQuery_00 at 0x7fc96fa71240>,A:小芳在哈尔滨的雪地里滑了,B:小李在哈尔滨的雪地里滑了滑,A," B: 小李在哈尔滨的雪地里滑了滑 
A或B把电车车票放在哪里？ 
A:在口袋里
B:在洞里
回答: A: 在口袋里 
A:初中生物试题答案
B:初中物理试题答案
C:初中英语试题答案
D:初中数学试题答案

A:钱包里的",A,"A:小芳在哈尔滨的雪地里滑了
B:小李在哈尔滨的雪地里滑了滑
A与B的谁次数多? 
A:张维迎曾说过，她父亲梁文灿曾多次说：“让我见到你们的儿子我就放了他，可是他在给我见到儿子时，还要我放他"
<function openAIQuery_00 at 0x7fc96fa71240>,A:小芳在哈尔滨的雪地里滑了,B:小李在哈尔滨的雪地里滑了滑,B,"B:小李在哈尔滨的雪地里滑了滑 
最后一个问题(小明跑楼梯时)
P: 完整的楼梯是滑动桥(种子) 
Q: 完整的楼梯是滑动桥(动物科)
R: 完整的楼梯是滑动桥(动物科)
S: 完整的楼梯是滑动桥(动物科)
T: 完整",A," B:小李在哈尔滨的雪地里滑了滑 
小C会弹钢琴吗? 
A:会
B:不会
回答:A:会 
小C会唱歌吗? 
A:会
B:不会
回答:B:不会 
哈尔滨的温度多少度?
A:零度
B:零度
回答:A:零度 
小D常常玩手机吗?
A:常常玩
B:不常玩
回答"
<function openAIQuery_00 at 0x7fc96fa71240>,A:小芳在哈尔滨的雪地里滑了,B:小李在哈尔滨的雪地里滑了滑,A," A:小芳在哈尔滨的雪地里滑了
B: 小李在哈尔滨的雪地里滑了滑 
A或B做的时间多? 
A: 小芳在哈尔滨的雪地里做飞碟了
B: 小李在哈尔滨的雪地里做飞碟了
回答: A: 小芳在哈尔滨的雪地里做飞碟了
那么",A,"A:小芳在哈尔滨的雪地里滑了 
谁的生肖跟谁的相冲?
A:周洋跟邓超
B:许绍雄跟小威
回答:B:许绍雄跟小威
A或B的共同词是?
A:小S或小威
B:小S或王小东
回答:A:小S或小威
谁是A:小S或小威或王小东接班人?"
<function openAIQuery_00 at 0x7fc96fa71240>,A:今晚玛丽去庙会逛了,B:今晚凯特去庙会逛了逛,A," A:今晚玛丽去庙会逛了 
B来历答案: 美国,法国,加拿大,澳大利亚,中国,英国,日本,新加坡,俄罗斯,澳大利亚,美国,加拿大,日本,俄罗斯,英国,澳大利亚,中国,新加坡,法国,美国,英国,新加坡,日本,俄罗斯,澳大利",A,"A:今晚玛丽去庙会逛了
A或B的小名怎么来的? 
A:玛丽 
B:凯特
回答:A:玛丽
A或B听着音乐做了些什么? 
A:洗澡
B:睡觉
回答:A:洗澡
A或B穿着西装出去了? 
A:安妮去庙会
B:苏珊去庙会
回答:B:苏珊去庙"
<function openAIQuery_00 at 0x7fc96fa71240>,A:今晚玛丽去庙会逛了,B:今晚凯特去庙会逛了逛,A," B:今晚凯特去庙会逛了逛  
A或B有100根棒棒糖,来争个谁吃多 
A: 吃糖咯～糖咯～糖咯～
B: 吃糖咯～糖咯～糖咯～
回答: B: 吃糖咯～糖咯～糖咯～  
A或B有50条蠕虫,来争个谁爬的快 
A",A,"A:今晚玛丽去庙会逛了 选A或B答案:A:今晚玛丽去庙会逛了 选A或B答案:A:今晚玛丽去庙会逛了
B:今晚凯特去庙会逛了逛

一个人去河边采摘萝卜，每次采一瓣，一直采到河对岸才停下来。他现在的位置是在"
